City,State,Latitude,Longitude
New Delhi,Delhi,28.6139,77.209
Patna,Bihar,25.5941,85.1376
Hyderabad,Telangana,17.385,78.4867
Chennai,Tamil Nadu,13.0827,80.2707
Jaipur,Rajasthan,26.9124,75.7873
Mohali,Punjab,30.7046,76.7179
Gurugram,Haryana,28.4595,77.0266
Bengaluru,Karnataka,12.9716,77.5946
Mumbai,Maharashtra,19.076,72.8777
Pune,Maharashtra,18.5204,73.8567
Vellore,Tamil Nadu,12.9165,79.1325
Chandigarh,Chandigarh,30.7333,76.7794
Lucknow,Uttar Pradesh,26.8467,80.9462
Ranchi,Jharkhand,23.3441,85.3096
Kolkata,West Bengal,22.5726,88.3639
Bhopal,Madhya Pradesh,23.2599,77.4126
Ahmedabad,Gujarat,23.0225,72.5714
Kochi,Kerala,9.9312,76.2673
Bhubaneswar,Odisha,20.2961,85.8245
Visakhapatnam,Andhra Pradesh,17.6868,83.2185
Nagpur,Maharashtra,21.1458,79.0882
Indore,Madhya Pradesh,22.7196,75.8577
Surat,Gujarat,21.1702,72.8311
Noida,Uttar Pradesh,28.5355,77.391
Thiruvananthapuram,Kerala,8.5241,76.9366
Mysuru,Karnataka,12.2958,76.6394
Coimbatore,Tamil Nadu,11.0168,76.9558
Jodhpur,Rajasthan,26.2389,73.0243
Amritsar,Punjab,31.634,74.8723
Varanasi,Uttar Pradesh,25.3176,82.9739
Guwahati,Assam,26.1445,91.7362
Raipur,Chhattisgarh,21.2514,81.6296
Dehradun,Uttarakhand,30.3165,78.0322
Jammu,Jammu and Kashmir,32.7266,74.857
Srinagar,Jammu and Kashmir,34.0837,74.7973
Agra,Uttar Pradesh,27.1767,78.0081
Kanpur,Uttar Pradesh,26.4499,80.3319
Nashik,Maharashtra,19.9975,73.7898
Aurangabad,Maharashtra,19.8762,75.3433
Vadodara,Gujarat,22.3072,73.1812
Shillong,Meghalaya,25.5788,91.8933
Imphal,Manipur,24.817,93.9368
Aizawl,Mizoram,23.7271,92.7176
Itanagar,Arunachal Pradesh,27.0844,93.6053
Gangtok,Sikkim,27.3389,88.6065
Panaji,Goa,15.4909,73.8278
Siliguri,West Bengal,26.7271,88.3953
Udaipur,Rajasthan,24.5854,73.7125
Prayagraj,Uttar Pradesh,25.4358,81.8463
Cuttack,Odisha,20.4625,85.883
