Department_Patient,Readmission_Rate,Readmission_Count,Total_Patients,Readmission_Rate_Pct
Cardiology,0.08089775561097257,811,10025,8.09
Pediatrics,0.07632113821138212,751,9840,7.63
Gynecology,0.07589241075892411,759,10001,7.59
ICU,0.07569840793030941,756,9987,7.57
Emergency,0.07528494301139772,753,10002,7.53
Oncology,0.07462983205803439,751,10063,7.46
General Surgery,0.07311153807260592,723,9889,7.31
Orthopedics,0.07284435053828353,724,9939,7.28
Neurology,0.07164892029057618,720,10049,7.16
Dermatology,0.07143557079862813,729,10205,7.14
