Department,Avg_Wait_Min,Median_Wait_Min,P90_Wait_Min,Patients_Over_3hr,Pct_Over_3hr
ICU,152.95073595674376,153.0,271.0,4083,40.88
Neurology,152.70385112946562,153.0,271.0,4081,40.61
General Surgery,152.6269592476489,153.0,271.0,4005,40.5
Gynecology,152.55684431556844,152.0,269.0,4051,40.51
Cardiology,152.51531172069826,152.0,272.0,4035,40.25
Oncology,152.21246149259665,151.0,271.0,4073,40.48
Orthopedics,152.15484455176576,153.0,272.0,4022,40.47
Emergency,151.5100979804039,151.0,271.0,3983,39.82
Pediatrics,151.13963414634145,152.0,269.0,3952,40.16
Dermatology,150.02381185693287,149.0,269.0,4036,39.55
